number,taskname,first_create_date,first_create_hhmmss,first_create_git_hash
1,shopify-customer-account-auth,2026-08-13,000000,-------
2,tenant-bound-shopify-secret-keyring,2026-08-13,051953,5a3d16c
3,add-shopify-setup-instructions,2026-08-13,160258,62022fe
4,fix-admin-membership-product-list,2026-08-13,160258,62022fe
5,improve-shopify-scope-readiness-messaging,2026-08-13,160258,62022fe
6,normalize-shopify-implied-read-scopes,2026-08-13,160258,62022fe
7,tenant-shopify-admin-auth,2026-08-13,160258,62022fe
8,harden-customer-account-ssrf-throughput,2026-08-14,000000,-------
9,festival-customer-identity-account-foundation,2026-08-15,000000,-------
10,teacher-membership-mvp-issue-organization,2026-08-15,000000,-------
11,admin-divisions-card,2026-08-16,000000,-------
12,organization-divisions-timezone-api,2026-08-16,000000,-------
14,teacher-membership-offering-entitlement-domain-model,2026-08-18,000000,-------
